^fall17
GENETICS,545,11,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENETICS,565,61,3.100,19.7,18.0,32.8,18.0,9.8,0,0,1.6,0,0,0,0,0,0,0,0,
GENETICS,567,21,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENETICS,570,8,3.375,37.5,12.5,37.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,
GENETICS,571,8,3.786,50.0,37.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,
GENETICS,572,8,3.625,50.0,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENETICS,573,8,3.813,62.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENETICS,631,29,3.362,37.9,20.7,27.6,10.3,0,3.4,0,0,0,0,0,0,0,0,0,0,
GENETICS,633,10,3.250,20.0,40.0,10.0,0,0,10.0,0,20.0,0,0,0,0,0,0,0,0,
GENETICS,662,30,3.783,56.7,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENETICS,677,42,3.893,95.2,0,2.4,0,0,2.4,0,0,0,0,0,0,0,0,0,0,
GENETICS,699,62,3.986,95.2,1.6,1.6,0,0,0,0,0,0,0,0,0,1.6,0,0,0,
GENETICS,701,9,3.722,66.7,11.1,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,
GENETICS,990,72,0.0,0,0,0,0,0,0,0,84.7,1.4,0,0,13.9,0,0,0,0,
HORT,120,64,3.214,28.1,28.1,23.4,7.8,7.8,0,3.1,1.6,0,0,0,0,0,0,0,0,
HORT,121,26,3.231,42.3,30.8,7.7,7.7,0,3.8,7.7,0,0,0,0,0,0,0,0,0,
HORT,234,14,3.179,28.6,28.6,7.1,21.4,14.3,0,0,0,0,0,0,0,0,0,0,0,
HORT,261,29,3.293,41.4,27.6,13.8,3.4,6.9,3.4,3.4,0,0,0,0,0,0,0,0,0,
HORT,262,8,4.000,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HORT,263,10,2.200,0,10.0,30.0,10.0,20.0,30.0,0,0,0,0,0,0,0,0,0,0,
HORT,320,13,3.192,23.1,38.5,15.4,15.4,0,7.7,0,0,0,0,0,0,0,0,0,0,
HORT,350,49,3.261,30.6,20.4,16.3,14.3,6.1,2.0,0,10.2,0,0,0,0,0,0,0,0,
HORT,370,33,3.109,24.2,18.2,24.2,15.2,15.2,0,0,3.0,0,0,0,0,0,0,0,0,
HORT,375,13,3.077,23.1,23.1,30.8,7.7,7.7,7.7,0,0,0,0,0,0,0,0,0,0,
HORT,376,24,3.813,70.8,20.8,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,
HORT,571,12,3.625,41.7,41.7,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,
HORT,811,10,3.800,60.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HORT,875,22,4.000,95.5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,
HORT,957,11,3.682,45.5,45.5,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,
HORT,990,36,0.0,0,0,0,0,0,0,0,66.7,2.8,0,0,30.6,0,0,0,0,
INTER-AG,155,94,3.812,85.1,2.1,7.4,1.1,1.1,2.1,0,0,0,0,0,0,1.1,0,0,0,
INTER-AG,175,77,3.967,93.5,1.3,2.6,0,0,0,0,0,0,0,0,0,2.6,0,0,0,
LAND ARC,201,14,3.731,64.3,14.3,7.1,7.1,0,0,0,0,0,0,0,0,7.1,0,0,0,
LAND ARC,250,116,3.532,49.1,22.4,12.9,2.6,3.4,1.7,0.9,0.9,0,0,0,0,5.2,0.9,0,0,
LAND ARC,261,17,3.882,76.5,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAND ARC,263,6,1.667,0,16.7,0,16.7,16.7,33.3,16.7,0,0,0,0,0,0,0,0,0,
LAND ARC,354,11,3.136,45.5,0,9.1,27.3,18.2,0,0,0,0,0,0,0,0,0,0,0,
LAND ARC,365,11,3.333,27.3,0,18.2,0,9.1,0,0,0,0,0,0,0,45.5,0,0,0,
LAND ARC,375,15,3.647,53.3,26.7,13.3,0,6.7,0,0,0,0,0,0,0,0,0,0,0,
LAND ARC,462,14,3.786,57.1,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAND ARC,550,13,3.231,23.1,23.1,38.5,7.7,7.7,0,0,0,0,0,0,0,0,0,0,0,
LAND ARC,610,13,3.391,23.1,30.8,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAND ARC,666,17,3.853,70.6,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAND ARC,699,16.7,0.0,33.3,0,0,0,0,0,0,0,0,0,0,33.3,0,16.7,0,3.571,
LAND ARC,710,6,3.833,83.3,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAND ARC,720,6,3.917,83.3,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
